gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,966,0,0,1,3,0,3,1,4,2
1,0,1128,3,0,0,0,2,0,2,0
2,10,4,958,13,6,0,1,23,15,2
3,0,0,4,966,1,12,0,10,10,7
4,0,0,3,0,955,0,8,4,3,9
5,4,2,1,6,0,864,6,1,6,2
6,8,3,0,0,6,2,938,0,1,0
7,1,2,16,1,3,0,0,978,2,25
8,5,0,7,15,11,2,11,10,903,10
9,8,6,1,6,12,2,0,6,6,962
