gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,974,0,0,1,0,1,2,1,1,0
1,0,1128,3,0,0,0,2,0,2,0
2,19,9,952,12,7,0,8,12,11,2
3,9,6,28,888,0,33,1,13,20,12
4,2,2,9,0,926,0,12,2,5,24
5,23,22,8,31,21,697,12,12,44,22
6,34,3,8,0,11,7,891,1,3,0
7,5,19,35,3,6,0,0,925,1,34
8,17,35,17,20,18,20,16,11,802,18
9,15,12,1,8,54,3,0,13,8,895
