gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,959,0,0,0,4,3,6,3,4,1
1,0,1120,6,1,0,0,4,1,3,0
2,10,0,988,3,8,2,7,9,2,3
3,4,0,21,910,0,38,0,25,6,6
4,0,0,2,0,939,0,1,0,3,37
5,4,1,0,1,2,864,10,1,2,7
6,7,2,1,0,33,3,912,0,0,0
7,1,5,29,0,11,0,0,975,1,6
8,10,0,9,2,23,11,10,3,897,9
9,3,3,1,5,31,8,0,20,16,922
