gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,977,0,0,1,0,1,0,1,0,0
1,0,1125,3,0,0,0,2,2,3,0
2,31,9,938,16,5,0,6,12,13,2
3,12,3,16,930,0,9,0,20,18,2
4,12,5,8,0,913,0,5,4,4,31
5,75,10,4,38,16,680,3,14,40,12
6,88,9,3,0,16,17,811,0,14,0
7,3,12,22,5,5,0,0,966,0,15
8,45,15,14,34,12,19,9,18,801,7
9,17,10,1,6,41,2,0,34,5,893
