gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,961,0,0,3,0,4,6,2,3,1
1,0,1101,4,1,0,2,4,1,22,0
2,14,1,940,11,5,3,12,16,29,1
3,4,3,16,927,0,23,0,11,21,5
4,2,3,8,1,889,0,20,4,10,45
5,7,4,2,24,6,804,17,5,17,6
6,10,3,5,0,8,10,917,3,2,0
7,2,5,25,7,4,2,0,956,2,25
8,9,5,5,20,8,18,8,6,887,8
9,14,6,1,11,18,4,1,13,11,930
