gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,977,0,0,1,0,0,0,0,1,1
1,0,1128,1,3,1,0,1,0,0,1
2,21,8,909,40,1,1,5,12,29,6
3,3,2,7,932,0,31,0,4,5,26
4,14,4,3,0,904,0,4,0,4,49
5,31,5,2,48,13,705,7,4,30,47
6,76,10,5,0,26,20,801,0,20,0
7,7,7,16,13,9,1,0,803,0,172
8,19,9,7,24,4,24,3,5,754,125
9,12,6,1,3,17,11,0,3,1,955
