gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,958,0,2,4,1,1,2,1,7,4
1,0,1103,3,1,0,1,1,1,25,0
2,8,1,976,13,3,0,4,14,12,1
3,0,2,24,919,0,39,1,8,14,3
4,5,8,6,0,922,0,6,6,2,27
5,8,0,0,10,4,833,13,2,12,10
6,29,8,2,0,17,9,887,0,6,0
7,2,2,38,9,6,0,0,937,7,27
8,13,1,22,7,3,12,17,9,870,20
9,9,4,3,7,22,8,0,18,6,932
