gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,952,0,3,0,0,3,13,2,3,4
1,0,1117,2,2,0,0,1,2,11,0
2,0,0,1024,0,0,0,3,2,3,0
3,0,0,9,977,0,14,0,0,8,2
4,0,0,0,0,972,0,3,2,3,2
5,0,0,0,1,0,887,2,1,1,0
6,4,2,0,0,1,1,947,0,3,0
7,1,1,26,1,3,0,0,985,3,8
8,0,0,3,0,0,2,1,0,968,0
9,0,0,0,2,12,9,0,2,36,948
