gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,978,0,0,0,0,0,1,1,0,0
1,0,1135,0,0,0,0,0,0,0,0
2,57,1,941,6,1,0,0,26,0,0
3,4,0,1,997,0,0,0,7,0,1
4,7,7,0,0,921,0,0,10,1,36
5,5,6,0,20,3,842,4,2,1,9
6,19,6,0,0,12,9,909,0,2,1
7,1,11,5,5,0,0,0,996,0,10
8,47,16,4,15,6,2,5,8,751,120
9,12,12,0,4,2,3,0,8,1,967
