gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,974,1,0,0,0,0,2,2,1,0
1,0,1128,3,0,0,0,3,0,1,0
2,14,8,959,13,4,0,2,17,15,0
3,4,3,8,919,0,37,0,12,23,4
4,1,3,8,0,944,0,9,2,3,12
5,4,10,2,9,0,840,6,1,12,8
6,27,5,6,0,12,25,876,0,7,0
7,2,10,20,5,5,1,0,951,4,30
8,14,15,9,16,11,21,6,6,861,15
9,13,11,2,4,33,4,0,9,11,922
