gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,977,0,0,1,0,1,0,1,0,0
1,0,1130,2,0,0,0,2,0,1,0
2,12,7,981,14,2,0,6,8,2,0
3,5,0,4,989,0,0,0,7,3,2
4,3,3,11,1,932,0,8,1,2,21
5,26,6,2,48,2,777,14,1,6,10
6,49,4,4,0,5,9,887,0,0,0
7,4,7,28,11,6,0,0,951,0,21
8,45,15,37,76,10,11,12,9,716,43
9,16,9,3,17,15,0,0,8,1,940
