gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,977,0,0,1,0,1,0,1,0,0
1,0,1130,2,1,0,1,1,0,0,0
2,18,11,951,16,14,0,2,11,8,1
3,5,3,13,969,0,7,0,7,5,1
4,5,5,5,0,939,0,3,3,2,20
5,47,15,3,77,19,695,1,5,20,10
6,48,13,13,2,22,21,835,1,3,0
7,3,24,25,14,5,1,0,947,0,9
8,27,33,16,66,14,36,5,9,762,6
9,15,13,0,18,32,8,0,18,1,904
