deney,sinif,iou,dice,precision,recall,piksel_orani
bolut_aug_orta,train,71.11,83.12,87.94,78.8,1.865
bolut_aug_orta,tvmonitor,55.35,71.26,63.1,81.84,0.784
bolut_aug_guclu,arkaplan,91.32,95.46,96.14,94.8,73.718
bolut_aug_guclu,aeroplane,84.13,91.38,94.03,88.88,0.829
bolut_aug_guclu,bicycle,42.15,59.31,52.72,67.78,0.404
bolut_aug_guclu,bird,72.56,84.1,83.05,85.17,0.826
bolut_aug_guclu,boat,57.58,73.08,77.21,69.37,0.481
bolut_aug_guclu,bottle,63.39,77.59,77.71,77.47,0.971
bolut_aug_guclu,bus,80.2,89.01,88.11,89.93,1.719
bolut_aug_guclu,car,79.29,88.45,90.73,86.28,1.582
bolut_aug_guclu,cat,75.97,86.35,82.82,90.19,2.772
bolut_aug_guclu,chair,18.98,31.91,27.85,37.37,0.74
bolut_aug_guclu,cow,49.21,65.96,71.22,61.42,1.002
bolut_aug_guclu,diningtable,56.54,72.23,79.27,66.35,1.197
bolut_aug_guclu,dog,65.53,79.17,78.85,79.5,1.981
bolut_aug_guclu,horse,63.58,77.73,77.16,78.31,1.119
bolut_aug_guclu,motorbike,72.68,84.18,85.99,82.44,1.221
bolut_aug_guclu,person,78.08,87.69,87.15,88.24,4.413
bolut_aug_guclu,pottedplant,35.48,52.37,57.71,47.94,0.485
bolut_aug_guclu,sheep,60.58,75.45,68.85,83.46,0.756
bolut_aug_guclu,sofa,35.95,52.89,44.77,64.61,1.136
bolut_aug_guclu,train,70.25,82.52,84.96,80.22,1.865
bolut_aug_guclu,tvmonitor,52.7,69.02,58.33,84.51,0.784
bolut_scratch,arkaplan,76.16,86.47,79.18,95.23,73.718
bolut_scratch,aeroplane,17.29,29.48,45.43,21.82,0.829
bolut_scratch,bicycle,0.0,0.0,0.0,0.0,0.404
bolut_scratch,bird,0.22,0.45,6.85,0.23,0.826
bolut_scratch,boat,0.0,0.0,0.0,0.0,0.481
bolut_scratch,bottle,0.0,0.0,0.0,0.0,0.971
bolut_scratch,bus,6.85,12.82,21.27,9.17,1.719
bolut_scratch,car,2.83,5.51,17.43,3.27,1.582
bolut_scratch,cat,16.71,28.63,27.96,29.33,2.772
bolut_scratch,chair,0.0,0.0,0.0,0.0,0.74
bolut_scratch,cow,0.0,0.0,0.15,0.0,1.002
bolut_scratch,diningtable,0.0,0.0,0.0,0.0,1.197
bolut_scratch,dog,2.95,5.74,17.48,3.43,1.981
bolut_scratch,horse,0.0,0.0,0.0,0.0,1.119
