deney,sinif,ap50,ap50_95,precision,recall,f1,gercek_nesne,tahmin
tespit_coco_ft_katman5,dog,79.13,52.91,34.46,89.71,49.8,136,354
tespit_coco_ft_katman5,horse,77.87,48.95,41.83,84.21,55.9,76,153
tespit_coco_ft_katman5,motorbike,78.39,46.72,33.71,85.51,48.36,69,176
tespit_coco_ft_katman5,person,85.94,54.79,46.0,90.7,61.04,742,1508
tespit_coco_ft_katman5,pottedplant,49.51,24.38,18.68,76.12,30.0,67,279
tespit_coco_ft_katman5,sheep,80.62,50.03,38.61,89.71,53.98,68,163
tespit_coco_ft_katman5,sofa,70.59,49.09,17.68,83.33,29.17,42,204
tespit_coco_ft_katman5,train,84.93,56.09,35.34,90.38,50.81,52,134
tespit_coco_ft_katman5,tvmonitor,82.6,51.76,39.34,88.89,54.55,54,122
tespit_aug_hafif,aeroplane,89.22,64.22,40.37,91.67,56.05,48,110
tespit_aug_hafif,bicycle,91.05,60.2,26.96,94.83,41.98,58,207
tespit_aug_hafif,bird,82.9,50.98,35.46,92.71,51.3,96,254
tespit_aug_hafif,boat,52.69,27.94,18.54,81.33,30.2,75,333
tespit_aug_hafif,bottle,71.67,43.24,25.4,81.2,38.7,117,375
tespit_aug_hafif,bus,85.78,62.82,29.2,90.91,44.2,44,140
tespit_aug_hafif,car,83.65,54.92,36.15,87.55,51.17,249,620
tespit_aug_hafif,cat,91.26,59.74,41.55,96.72,58.13,122,284
tespit_aug_hafif,chair,69.52,39.73,20.97,84.76,33.62,210,870
tespit_aug_hafif,cow,76.86,51.95,27.27,87.5,41.58,48,159
tespit_aug_hafif,diningtable,65.27,38.09,13.91,88.68,24.04,53,343
tespit_aug_hafif,dog,81.02,56.26,31.2,93.38,46.78,136,407
tespit_aug_hafif,horse,80.7,52.07,35.64,88.16,50.76,76,189
tespit_aug_hafif,motorbike,79.29,48.25,29.95,85.51,44.36,69,199
tespit_aug_hafif,person,87.14,56.07,40.17,91.64,55.85,742,1749
tespit_aug_hafif,pottedplant,47.92,24.88,13.42,79.1,22.94,67,400
tespit_aug_hafif,sheep,83.18,52.65,37.95,92.65,53.85,68,172
tespit_aug_hafif,sofa,72.0,50.3,21.18,85.71,33.96,42,175
tespit_aug_hafif,train,86.23,55.06,31.17,92.31,46.6,52,155
tespit_aug_hafif,tvmonitor,84.88,56.24,37.98,90.74,53.55,54,129
tespit_aug_orta,aeroplane,90.58,69.2,40.74,91.67,56.41,48,109
tespit_aug_orta,bicycle,89.95,60.83,29.41,94.83,44.9,58,191
tespit_aug_orta,bird,81.8,50.54,39.29,91.67,55.0,96,227
tespit_aug_orta,boat,52.55,25.73,15.46,82.67,26.05,75,404
tespit_aug_orta,bottle,69.13,42.68,25.07,81.2,38.31,117,381
tespit_aug_orta,bus,86.28,64.9,29.71,93.18,45.05,44,140
tespit_aug_orta,car,84.77,56.48,35.4,89.56,50.74,249,648
tespit_aug_orta,cat,90.35,61.86,38.82,96.72,55.4,122,304
tespit_aug_orta,chair,68.18,39.49,19.05,85.71,31.17,210,966
tespit_aug_orta,cow,76.54,49.27,24.4,85.42,37.96,48,176
tespit_aug_orta,diningtable,64.17,38.28,13.04,90.57,22.8,53,372
tespit_aug_orta,dog,80.18,54.83,27.78,91.91,42.66,136,450
tespit_aug_orta,horse,83.88,55.44,35.94,90.79,51.49,76,193
tespit_aug_orta,motorbike,81.84,47.0,25.43,85.51,39.2,69,235
tespit_aug_orta,person,87.78,55.93,37.6,93.13,53.57,742,1901
tespit_aug_orta,pottedplant,48.4,23.3,14.89,79.1,25.06,67,362
tespit_aug_orta,sheep,81.11,51.53,31.96,91.18,47.33,68,200
tespit_aug_orta,sofa,68.65,46.77,19.77,80.95,31.78,42,178
tespit_aug_orta,train,85.36,54.81,25.97,90.38,40.34,52,182
tespit_aug_orta,tvmonitor,83.23,55.87,33.78,92.59,49.5,54,149
