epoch,train_loss,val_map50,val_precision,val_recall,lr
1,0.5477,70.72,70.05,64.04,0.005
2,0.2904,73.18,61.07,73.14,0.005
3,0.2291,75.11,58.53,77.04,0.005
4,0.1826,76.36,68.12,77.38,0.0005
5,0.1309,80.05,71.78,80.24,5e-05
6,0.1169,79.66,72.73,79.72,5e-05
