epoch,train_loss,val_map50,val_precision,val_recall,lr
1,0.5356,75.6,61.02,75.82,0.005
2,0.2905,76.95,60.12,77.99,0.005
3,0.2383,78.09,69.13,78.6,0.005
4,0.2142,78.68,59.78,82.93,0.0005
5,0.1621,81.54,68.05,82.5,5e-05
6,0.1484,81.87,69.74,82.5,5e-05
