epoch,train_loss,val_map50,val_precision,val_recall,lr
1,0.5354,72.84,55.68,75.22,0.005
2,0.2653,78.19,64.14,77.82,0.005
3,0.2052,74.89,64.44,74.26,0.005
4,0.1724,79.76,65.43,82.32,0.0005
5,0.1234,80.96,72.71,81.02,5e-05
6,0.1107,81.18,74.29,81.11,5e-05
