epoch,train_loss,val_map50,val_precision,val_recall,lr
1,0.5324,73.21,52.28,76.43,0.005
2,0.2779,74.56,64.72,73.14,0.005
3,0.2331,76.39,64.9,77.56,0.005
4,0.2044,79.37,57.77,82.5,0.0005
5,0.1516,81.47,68.46,83.71,5e-05
6,0.1388,81.3,70.58,82.93,5e-05
