gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,966,0,2,1,0,3,6,1,1,0
1,0,1128,4,1,0,0,1,0,1,0
2,12,3,963,8,6,2,7,14,16,1
3,1,2,12,941,0,23,0,8,14,9
4,1,2,4,0,933,0,13,3,2,24
5,4,1,1,6,0,866,4,2,7,1
6,13,4,1,0,6,16,917,1,0,0
7,3,8,23,2,1,1,0,966,2,22
8,10,4,6,15,9,20,9,6,879,16
9,19,7,2,4,14,10,0,21,4,928
