gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,977,1,0,0,0,0,0,2,0,0
1,1,1126,1,0,1,1,5,0,0,0
2,12,23,903,17,9,8,2,40,18,0
3,3,11,4,886,0,82,0,13,6,5
4,2,4,2,0,945,1,3,1,0,24
5,24,1,0,19,0,831,1,12,2,2
6,77,3,2,0,19,39,818,0,0,0
7,2,20,7,5,1,1,0,948,3,41
8,18,32,7,32,10,153,7,7,689,19
9,5,9,0,13,12,8,0,21,26,915
