gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,978,1,0,0,0,0,0,1,0,0
1,1,1134,0,0,0,0,0,0,0,0
2,10,7,1005,0,1,0,0,8,1,0
3,4,0,3,980,0,8,0,7,7,1
4,0,1,0,0,971,0,0,3,0,7
5,4,9,6,3,2,852,2,0,11,3
6,18,7,4,0,63,0,856,0,10,0
7,2,5,9,0,0,0,0,1006,0,6
8,28,5,16,7,5,0,2,9,892,10
9,5,6,0,0,5,4,0,7,1,981
