gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,976,0,0,1,0,1,1,1,0,0
1,0,1129,2,1,0,1,2,0,0,0
2,25,15,939,11,10,0,9,15,8,0
3,5,4,12,969,0,7,0,10,3,0
4,3,1,2,0,950,0,6,5,1,14
5,44,13,0,70,18,690,7,10,26,14
6,40,6,4,0,13,12,882,0,1,0
7,1,18,18,5,5,1,0,975,0,5
8,32,36,11,76,20,37,15,16,716,15
9,12,12,0,16,52,4,0,25,2,886
