gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,946,0,3,1,2,11,14,1,2,0
1,0,1121,1,5,0,1,4,1,2,0
2,14,7,916,17,11,1,19,11,31,5
3,1,1,16,921,2,27,3,13,10,16
4,1,7,2,0,904,1,19,1,2,45
5,7,4,0,34,2,817,12,6,4,6
6,9,2,1,1,6,19,918,2,0,0
7,3,17,22,5,8,4,1,918,2,48
8,7,13,6,20,10,47,25,4,817,25
9,13,8,2,9,34,14,3,13,3,910
