gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,973,1,1,1,0,0,1,2,1,0
1,0,1129,3,0,0,0,2,0,1,0
2,9,18,966,10,3,0,2,19,5,0
3,1,1,21,917,0,29,0,13,21,7
4,0,0,11,0,958,0,1,3,2,7
5,5,12,3,8,1,840,3,2,9,9
6,25,8,19,0,25,31,843,0,7,0
7,1,11,23,5,4,0,0,965,0,19
8,10,18,40,17,20,19,3,13,812,22
9,13,9,4,3,44,3,0,23,6,904
