gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,976,1,1,0,0,0,0,1,0,1
1,0,1135,0,0,0,0,0,0,0,0
2,2,10,998,2,2,0,2,16,0,0
3,2,11,6,919,0,9,0,5,3,55
4,2,5,7,0,908,0,3,1,3,53
5,16,12,1,1,1,785,1,2,8,65
6,33,7,7,0,3,0,905,0,3,0
7,0,11,4,1,0,0,0,992,1,19
8,57,6,9,0,0,1,4,4,882,11
9,2,6,0,0,1,0,0,4,11,985
