gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,976,0,0,0,0,0,2,1,1,0
1,0,1122,3,0,2,2,5,1,0,0
2,3,0,1018,0,1,0,0,4,6,0
3,0,0,1,993,0,4,0,2,4,6
4,0,0,0,0,969,0,5,0,1,7
5,4,0,0,5,0,862,4,1,2,14
6,5,2,0,0,1,0,949,0,1,0
7,0,3,6,0,0,0,0,1008,1,10
8,14,0,2,0,0,0,1,2,951,4
9,1,0,0,0,5,1,1,5,3,993
