gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,975,0,1,0,0,1,1,2,0,0
1,0,1132,2,0,0,0,1,0,0,0
2,11,8,986,12,3,0,3,7,2,0
3,8,0,10,972,0,2,0,12,5,1
4,2,9,8,0,942,0,5,1,2,13
5,24,6,1,37,0,801,8,2,9,4
6,51,9,5,0,6,15,869,0,3,0
7,3,10,25,5,4,0,0,976,1,4
8,39,21,24,51,8,15,7,10,791,8
9,17,13,4,16,16,3,0,19,6,915
