gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,970,0,1,2,0,2,1,1,1,2
1,0,1127,2,1,0,0,2,0,3,0
2,13,9,935,24,5,4,8,10,21,3
3,2,2,15,911,2,39,1,6,20,12
4,2,1,13,1,891,1,7,5,10,51
5,12,22,5,31,15,740,3,10,39,15
6,17,3,13,1,15,36,864,1,8,0
7,2,18,31,13,4,0,0,904,4,52
8,7,19,9,29,12,30,7,5,840,16
9,11,11,1,8,34,7,0,5,16,916
