gercek\tahmin,0,1,2,3,4,5,6,7,8,9
0,932,0,2,0,4,11,12,0,16,3
1,0,1101,8,1,3,1,6,5,8,2
2,18,1,857,24,14,3,6,13,81,15
3,2,5,55,805,1,51,2,23,51,15
4,4,4,3,0,913,5,16,2,8,27
5,16,2,2,27,3,797,7,1,25,12
6,35,5,2,0,10,11,881,0,13,1
7,0,5,25,6,15,7,0,872,13,85
8,8,12,8,7,6,30,16,3,854,30
9,8,4,3,3,40,26,4,14,29,878
