gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,277,6,7,6,3,138
forest,0,467,1,3,0,3
glacier,0,6,411,96,30,10
mountain,1,6,48,450,17,3
sea,7,11,16,50,412,14
street,14,14,1,5,3,464
