gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,383,4,2,2,2,44
forest,8,452,0,2,0,12
glacier,31,1,383,76,46,16
mountain,19,3,41,411,46,5
sea,35,2,8,21,434,10
street,63,8,0,4,3,423
