gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,306,5,6,6,10,104
forest,0,463,1,3,2,5
glacier,0,3,427,74,43,6
mountain,1,6,53,431,33,1
sea,6,3,14,34,447,6
street,21,7,2,5,11,455
