gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,380,4,2,3,5,43
forest,7,461,0,2,0,4
glacier,18,6,377,50,90,12
mountain,22,9,49,373,69,3
sea,28,4,7,13,453,5
street,50,10,2,3,6,430
