gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,373,4,5,9,8,38
forest,17,411,3,5,1,37
glacier,16,2,415,74,39,7
mountain,12,3,63,423,22,2
sea,15,2,30,37,419,7
street,95,5,1,3,8,389
