gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,381,0,3,4,2,47
forest,25,392,2,4,0,51
glacier,18,2,450,60,17,6
mountain,11,3,57,442,10,2
sea,27,3,56,47,363,14
street,65,2,2,5,0,427
