gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,415,0,0,1,1,20
forest,0,469,3,1,1,0
glacier,1,4,478,53,16,1
mountain,2,3,52,452,13,3
sea,2,0,5,2,501,0
street,36,0,0,0,0,465
