gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,343,6,2,8,10,68
forest,9,442,2,5,0,16
glacier,15,4,402,73,46,13
mountain,11,2,59,413,32,8
sea,15,1,18,22,439,15
street,47,13,3,6,4,428
