gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,345,5,7,4,7,69
forest,2,465,1,2,2,2
glacier,2,2,465,48,32,4
mountain,3,5,71,412,33,1
sea,7,3,21,18,453,8
street,42,6,1,3,8,441
