gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,386,2,5,3,4,37
forest,16,417,2,4,0,35
glacier,5,0,431,57,50,10
mountain,4,1,62,415,39,4
sea,13,1,15,19,449,13
street,73,3,2,4,4,415
