gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,373,1,2,1,18,42
forest,34,386,1,1,6,46
glacier,25,4,331,50,129,14
mountain,7,10,50,369,84,5
sea,5,2,5,11,484,3
street,55,0,2,2,9,433
