gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,409,1,0,0,1,26
forest,0,473,1,0,0,0
glacier,1,2,492,45,12,1
mountain,0,2,35,480,7,1
sea,4,1,4,3,498,0
street,20,0,1,0,2,478
