gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,406,1,1,1,0,28
forest,0,469,4,1,0,0
glacier,2,0,482,53,14,2
mountain,2,1,45,468,9,0
sea,4,1,6,9,490,0
street,29,0,1,0,2,469
