gercek\tahmin,buildings,forest,glacier,mountain,sea,street
buildings,388,4,2,2,8,33
forest,10,446,4,4,0,10
glacier,9,3,429,62,45,5
mountain,5,4,57,415,42,2
sea,17,2,16,17,448,10
street,79,5,1,3,4,409
